company,product,series,brand,part_number,country,chassis,main_page,navigate_second,lenovo_chassis,navigate_add_to_cart,model_name,price,discounted_price,discount,processor,operating system,display,memory,hard drive,graphics,camera,bluetooth,warrenty,battery
elpalaciodehierro,laptop,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/apple-macbook-pro-13-chip-m1-cpu-8-nucleos-gpu-8-nucleos-neural-engine-16-nucleos-ram-8-gb-ssd-512-gb-gris-espacial-41439609.html,,,"MacBook Pro, 13"", Chip M1, CPU 8 Núcleos, GPU 8 Núcleos, Neural Engine 16 Núcleos, RAM 8 GB, SSD 512 GB, Gris Espacial",40889,40889,,"Chip M1 de Apple con CPU de 8 n&uacute;cleos, GPU de 8 n&uacute;cleos y Neural Engine de 16 n&uacute;cleos",macOS Big Sur,13",8 GB,512 SSD,,,,,
elpalaciodehierro,laptop,,Acer,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/acer-laptop-2-en-1-spin-3-14-intel-core-i5-ram-8-gb-ssd-512-gb-plata-41191335.html,,,"Laptop 2 en 1, Spin 3, 14"", Intel Core i5, RAM 8 GB, SSD 512 GB, Plata",25469.1,28299,,Intel Core i5-1035G1,Windows 10 Home 64 bits,14",8 GB,512 GB SSD PCIe NVMe,,,,,
elpalaciodehierro,laptop,,Hp,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/hp-hp-pavilion-gaming-16-a0001la-intel-core-i5-8-gb-512-gb-ssd-32-gb-intel-optane-16-41154899.html,,,"HP Pavilion Gaming 16-a0001la Intel Core i5, 8 GB, 512 GB SSD + 32 GB Intel Optane 16""",30500.1,33889,,Intel Core i5,Windows 10 Home,16",8 GB,512 GB SSD + 32 GB Intel Optane,GeForce GTX 1650,,,GeForce GTX 1650,
elpalaciodehierro,tablets,,Huawei,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/huawei-tablet-matepad-t10-9.7-kirin-710a-ram-2-gb-rom-32-gb-azul-41447492.html,,,"Tablet MatePad T10, 9.7"", Kirin 710A, RAM 2 GB, ROM 32 GB, Azul",4211.1,5499,,HUAWEI Kirin 710A CPU:4 basados en Cortex-A73 a 2.0 GHz + 4 basados en Cortex-A53 a 1.7 GHz,EMUI 10.1 (basado en Android 10),9.7",2 GB,32 GB,,,,,
elpalaciodehierro,laptop,,Dell,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/dell-laptop-gaming-alienware-15-15.6-nvida-geforce-rtx-2080-core-i7-10750h-ram-32-gb-ssd-512-gb-blanca-41187329.html,,,"Laptop Gaming, Alienware 15, 15.6"", NVIDA GEFORCE RTX 2080, Core i7-10750H, RAM 32 GB, SSD 512 GB, Blanca",75599.1,83999,,Intel Core i7-10750H,Windows 10,15.6",32 GB,SSD 512 GB,,,,,
elpalaciodehierro,laptop,,Acer,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/acer-laptop-gaming-predator-helios-300-15.6-nvidia-geforce-rtx-2060---6-gb-gddr6-intel-ci7-10750h-ram-16-gb-ssd-1-tb-pcie-nvme-negro-aby-41191330.html,,,"Laptop Gaming, Predator Helios 300, 15.6"", Nvidia GeForce RTX 2060 - 6 GB GDDR6, Intel Ci7-10750H, RAM 16 GB, SSD 1 TB PCIe NVMe, Negro Aby",48599.1,53999,,Intel Ci7-10750H,Windows 10 Home 64 bits,15.6",16 GB 2933 MHz,1 TB PCIe NVMe SSD,GeForce RTX 2060,,,GeForce RTX 2060,
elpalaciodehierro,laptop,,Lenovo,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/lenovo-notebook-gaming-legion-5-15imh05h-15.6-geforce-rtx-2060-core-i5-10300h-ram-8-gb-ssd-512-gb-negro-41335706.html,,,"Notebook Gaming Legion 5 15IMH05H, 15.6"", GeForce RTX 2060, Core i5-10300H, RAM 8 GB, SSD 512 GB, Negro",35999.1,39999,,CORE I5-10300H 2.5G 4C MB,Windows 10 Home,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 144Hz, 100% sRGB, Dolby Vision",8GB DDR4 2933 SODIMM,SSD 512GB SSD M.2 2242 PCIe 3.0x4 NVMe,RTX / TECLADO RETROILUMINADO,,,RTX / TECLADO RETROILUMINADO,
elpalaciodehierro,tablets,,Candywirez,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/candywirez-cable-para-iphone-ipad-ipod-40432004.html,,,"Cable para iPhone, iPad, iPod",779,779,,,,,,,,,,,
elpalaciodehierro,tablets,,Spin Master,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/spin-master-tableta-de-ryder-41148628.html,,,Tableta de Ryder,449,449,,,,,,,,,,,
elpalaciodehierro,tablets,,Huawei,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/huawei-tablet-matepad-pro-10.8-kirin-990-ram-8-gb-rom-256-gb-gris-41447490.html,,,"Tablet MatePad Pro, 10.8"", Kirin 990, RAM 8 GB, ROM 256 GB, Gris",14534.1,18999,,"HUAWEI Kirin 990 Ocho n&uacute;cleos, 2 x Cortex-A76 basado en 2.86 GHz + 2 x Cortex-A76 basado en 2.09 GHz + 4 x Cortex-A55 1.86 GHz",EMUI 10.0.1 (basado en Android 10),10.8",8 GB,256 GB,,,,,
